Time (s),USB Avg Current (mA)
1996.0358,28.656
1996.0360,29.868
1996.0362,28.665
1996.0364,29.472
1996.0366,28.712
1996.0368,28.672
1996.0370,29.839
1996.0372,28.696
1996.0374,29.531
1996.0376,29.802
1996.0378,32.247
1996.0380,30.438
1996.0382,29.374
1996.0384,30.111
1996.0386,29.244
1996.0388,28.797
1996.0390,29.859
1996.0392,28.608
1996.0394,29.523
1996.0396,28.701
1996.0398,28.699
1996.0400,29.777
1996.0402,28.644
1996.0404,29.473
1996.0406,28.635
1996.0408,28.664
1996.0410,29.757
1996.0412,28.677
1996.0414,29.535
1996.0416,28.731
1996.0418,28.689
1996.0420,29.821
1996.0422,28.648
1996.0424,28.67
1996.0426,28.651
1996.0428,29.769
1996.0430,28.655
1996.0432,29.479
1996.0434,28.665
1996.0436,28.752
1996.0438,29.708
1996.0440,28.61
1996.0442,29.497
1996.0444,28.688
1996.0446,28.718
1996.0448,29.706
1996.0450,28.698
1996.0452,29.532
1996.0454,28.668
1996.0456,28.74
1996.0458,29.787
1996.0460,28.662
1996.0462,29.524
1996.0464,28.753
1996.0466,28.7
1996.0468,29.718
1996.0470,28.686
1996.0472,29.536
1996.0474,28.721
1996.0476,28.692
1996.0478,29.743
1996.0480,28.676
1996.0482,29.567
1996.0484,28.601
1996.0486,28.718
1996.0488,29.617
1996.0490,28.63
1996.0492,29.519
1996.0494,28.65
1996.0496,28.713
1996.0498,29.635
1996.0500,28.674
1996.0502,29.536
1996.0504,28.65
1996.0506,28.76
1996.0508,29.688
1996.0510,28.665
1996.0512,29.54
1996.0514,28.578
1996.0516,28.776
1996.0518,29.499
1996.0520,28.629
1996.0522,29.468
1996.0524,28.698
1996.0526,28.749
1996.0528,29.62
1996.0530,28.696
1996.0532,29.525
1996.0534,28.731
1996.0536,28.782
1996.0538,29.524
1996.0540,28.764
1996.0542,29.425
1996.0544,28.647
1996.0546,28.848
1996.0548,29.487
1996.0550,28.623
1996.0552,29.506
1996.0554,28.65
1996.0556,28.791
1996.0558,29.511
1996.0560,28.596
1996.0562,29.526
1996.0564,28.578
1996.0566,28.839
1996.0568,29.466
1996.0570,28.575
1996.0572,29.539
1996.0574,28.714
1996.0576,28.873
1996.0578,28.731
1996.0580,29.478
1996.0582,28.699
1996.0584,28.84
1996.0586,29.468
1996.0588,28.65
1996.0590,29.456
1996.0592,28.633
1996.0594,28.871
1996.0596,29.478
1996.0598,28.581
1996.0600,29.476
1996.0602,28.608
1996.0604,28.909
1996.0606,29.352
1996.0608,28.635
1996.0610,29.447
1996.0612,28.656
1996.0614,28.864
1996.0616,29.346
1996.0618,28.545
1996.0620,29.484
1996.0622,28.59
1996.0624,28.903
1996.0626,29.336
1996.0628,28.659
1996.0630,29.456
1996.0632,28.598
1996.0634,28.918
1996.0636,29.294
1996.0638,28.689
1996.0640,29.48
1996.0642,28.626
1996.0644,28.988
1996.0646,29.223
1996.0648,28.625
1996.0650,29.427
1996.0652,28.62
1996.0654,28.975
1996.0656,29.28
1996.0658,28.626
1996.0660,29.478
1996.0662,28.599
1996.0664,29.011
1996.0666,29.206
1996.0668,28.716
1996.0670,29.432
1996.0672,28.641
1996.0674,29.001
1996.0676,29.181
1996.0678,28.592
1996.0680,29.469
1996.0682,28.67
1996.0684,29.019
1996.0686,29.127
1996.0688,28.696
1996.0690,29.46
1996.0692,28.683
1996.0694,29.15
1996.0696,29.034
1996.0698,28.662
1996.0700,29.547
1996.0702,28.637
1996.0704,29.128
1996.0706,29.102
1996.0708,28.578
1996.0710,29.511
1996.0712,28.581
1996.0714,29.316
1996.0716,29.079
1996.0718,28.636
1996.0720,29.469
1996.0722,28.59
1996.0724,29.157
1996.0726,29.07
1996.0728,28.685
1996.0730,29.474
1996.0732,29.044
1996.0734,29.08
1996.0736,28.678
1996.0738,29.487
1996.0740,28.704
1996.0742,29.211
1996.0744,29.084
1996.0746,28.62
1996.0748,29.463
1996.0750,28.506
1996.0752,29.402
1996.0754,29.043
1996.0756,28.657
1996.0758,29.45
1996.0760,28.581
1996.0762,29.214
1996.0764,28.977
1996.0766,28.605
1996.0768,29.428
1996.0770,28.666
1996.0772,29.198
1996.0774,28.999
1996.0776,28.576
1996.0778,29.422
1996.0780,28.621
1996.0782,29.304
1996.0784,29.098
1996.0786,28.554
1996.0788,29.379
1996.0790,28.773
1996.0792,29.293
1996.0794,28.89
1996.0796,28.753
1996.0798,29.481
1996.0800,28.659
1996.0802,29.347
1996.0804,28.938
1996.0806,28.644
1996.0808,29.527
1996.0810,28.563
1996.0812,29.367
1996.0814,29.028
1996.0816,28.593
1996.0818,29.419
1996.0820,28.638
1996.0822,29.386
1996.0824,28.981
1996.0826,28.592
1996.0828,29.51
1996.0830,28.668
1996.0832,29.355
1996.0834,28.947
1996.0836,28.626
1996.0838,29.434
1996.0840,28.56
1996.0842,29.348
1996.0844,28.937
1996.0846,28.599
1996.0848,29.521
1996.0850,28.617
1996.0852,29.392
1996.0854,28.929
1996.0856,28.662
1996.0858,29.457
1996.0860,28.671
1996.0862,29.442
1996.0864,28.857
1996.0866,28.713
1996.0868,29.471
1996.0870,28.691
1996.0872,29.449
1996.0874,28.906
